title	json_key	type	chapter	description
Briefly explain non-standard formats and the rationale behind	brieflyExplainNon	question	Reusing and collecting data	
How much have you budgeted for making data or other research outputs FAIR?	budget	question	Responsibilities and resources	Indicate the single posts and/or the expected sum. If you are converting currencies, remember to indicate the conversion rate.
Indicate why (some of the) data cannot be completely open	businessReasons	question	Archiving and publishing data	If certain datasets cannot be published, explain why, clearly separating legal and contractual reasons from intentional restrictions.
Case number	caseNumber	question	Legal and ethical aspects	
Which category?	category	question	Legal and ethical aspects	
How will you handle changes in the data?	changeHandling	question	Processing, analysing and interpreting data	Database systems can be configured to keep all data, so that it is possible to reconstruct any past state of the data. How are changes in the data handled by your database?
Will you be keeping a master list with checksums of data?	checksums	question	Processing, analysing and interpreting data	Data corruption or mistakes can happen with large amounts of files or large files. Keeping a master list with data checksums can be helpful to prevent expensive mistakes, because it will help detect early when data files are damaged or mixed up. It can also be helpful to keep the list under version control so that all changes are well documented.
Is it clear which metadata standard(s) will be used?	clearMetadataStandard	question	Archiving and publishing data	Briefly describe which metadata and documentation requirements the archive has.
Is it clear who owns data and documents?	clearOwnership	question	Archiving and publishing data	
Do you need the work space to be close to the compute capacity?	closeToComputeCapacity	question	Processing, analysing and interpreting data	If you have large volumes of data that are intensely and repeatedly used by the computing work flow, it may be needed to keep the storage in the same place as where the computing takes place.
Will different groups work on different parts of the workflow? Will parts of the computing be done on 'local' infrastructure to the group?	collabDifferentGroups	question	Processing, analysing and interpreting data	
How are the rights to the collected data distributed?	collectedDataRights	question	Data documentation during the project	Indicate how rights to the collected data will be distributed. Rights distribution should be clarified before data collection begins.\ If a consortium agreement exists, refer to it in the chapter 'Legal and ethical aspects'. For cases where rights are unclear, consult your institution’s research office.
Collected data format	collectedFormat	question	Reusing and collecting data	Which data format will be collected? Is the file format standard and widely used by researchers in this field? Does this data format enable sharing and long term archiving? If file format conversions will be necessary, remember to describe them in the chapter 'Processing, analysing and interpreting data'. Examples: Tabular data (file format: .csv) Interview transcripts as text files (file format: .txt)
Collected data format	collectedFormat2	question	Reusing and collecting data	Which data format will be collected? Is the file format standard and widely used by researchers in this field? Does this data format enable sharing and long term archiving? If file format conversions will be necessary, remember to describe them in the chapter 'Processing, analysing and interpreting data'. Examples: Interview sound recordings (file format: .mp3, .flac) Interview transcripts as text files (file format: .txt)
Collection methodology	collectionMethodology	question	Reusing and collecting data	Briefly describe how the data will be collected. Will a collection device (e.g. sound recorder/dictaphone, electronic questionnaire) be used? <!-- JO: Adapt collection list from Sikt DMP?--
The project will collect physical samples	collectsPhysicalSample	question	Reusing and collecting data	Will you be collecting artefacts like specimens, biological samples, minerals, or archeological samples?
Which existing Data Access Committee?	committee	question	Archiving and publishing data	
What type of compute architecture is most suitable for your work, and will this be available to you?	computeArchitecture	question	Processing, analysing and interpreting data	
Is all required compute capacity available close to the project working storage area?	computeCloseToStorage	question	Processing, analysing and interpreting data	
What conditions?	conditions	question	Archiving and publishing data	Please summarise the restrictions. Note that it is a good idea to publish the final conditions for use of the data openly, so that interested researchers can know beforehand whether they will be able to get access to the data before actually placing a request.
How will you connect data and respective metadata/data documentation?	connectRespectiveMetadata	question	Data documentation during the project	Metadata is data about data, providing information needed to understand and use data both during and after a research project. Describe how you will ensure connection between data and their respective metadata or data documentation in your project. The same strategies for linking metadata should be communicated to all project members who manages data in the project. Multiple selections will be relevant in most projects.
Did you consider the possible impact to the project or organization if information leaks?	considerLeakImpact	question	Storing and protecting data during the project	Your institute may have a generic risk assessment; you should be informed about this.
Did you consider the possible impact to the project or organization if information is lost?	considerLossImpact	question	Storing and protecting data during the project	
Did you consider the possible impact to the project or organization if information is vandalized?	considerVandalismImpact	question	Storing and protecting data during the project	
Does this dataset contain personal data?	containsPersonalData	question	Archiving and publishing data	Is there anything in this dataset that could be tied to a person? This could be a physical characteristic, but also behavior of a person, movements, communications. Note that e.g. readouts about the performance of an airplane are considered to contain personal data of the pilot! The GDPR states that the processing (including storing) of personal data should stop when the intended purpose of the processing is done. There are, however, exemptions to this e.g. when the processing is done for research purposes. Also, from a research ethics point of view, research data should be kept to make it possible for others to validate published research findings and reuse data for new discoveries. This is also governed by what the data subjects have been informed about regarding how you will treat the data after project completion. The recommendation is to deposit the sensitive data in the appropriate controlled access repositories if such are available, but this requires that the data subjects are informed and have agreed to this.
Does this dataset contain sensitive information?	containsSensitiveInformation	question	Archiving and publishing data	Personal information can be sensitive if it is for instance about the health, sexual orientation, religion of a person. But there are also other classes of sensitive information: e.g. locations of rare species in biodiversity could be sensitive and should not leak to poachers.
Contributor	contributor	question	Responsibilities and resources	
Contributor(s)	contributors	question	About the Data Management Plan	List all persons contributing to the data management plan and/or data management in the research project. Use the 'Add' button for adding a new person. All projects should at least have a Contact Person and a Project Leader. A person can have several roles. In educational settings, the supervisor(s) should be specified as they have formal responsibility for data management.
How will contributors get access?	contributorsGetAccess	question	Storing and protecting data during the project	Briefly explain the procedure how project management will give access to contributors (all project members or specified individuals).
Controller	controllers	question	Legal and ethical aspects	
Will data be copied out and in to the work space storage by remote users?	copyOutIn	question	Processing, analysing and interpreting data	
If a copy of the data is stored, which storage solution will be used?	copyStoredStorage	question	Reusing and collecting data	
Do you need to create vocabularies or ontologies for any of your data items?	createVocabularies	question	Data documentation during the project	For good interoperability the use of controlled vocabularies for each discrete data item is advisable. If such vocabularies exist, it is best to reuse those.
Data documentation during the project	creatingData	chapter	Data documentation during the project	This chapter collects information about how metadata and other accompanying information will be handled in the active phase of the project. The planned use of metadata will benefit the research project both internally, among project members, as well as help make the data understandable and FAIR for external users and future reuse. Supporting information for this chapter
Will you use a database system to store project data?	databaseSystem	question	Processing, analysing and interpreting data	
