title	json_key	type	chapter	description
Is data security guaranteed during this stage?	guaranteedIntegrity	question	Reusing and collecting data	Are the raw data encrypted or otherwise protected from theft or leaks at either site or during transport? You could e.g. use a light path or a virtual private network if you transport the data over the net.
Is data integrity guaranteed during this stage?	guaranteedIntegrityDuring	question	Reusing and collecting data	Do you have any means of identifying whether the raw data has been transferred error free and has not been tampered with?
Can you handle it when the work space is offline for a while?	handleOffline	question	Processing, analysing and interpreting data	
Where has the data been archived?	hasBeenArchived	question	Archiving and publishing data	You should already have identified suitable archives in the ‘Identify archive(s)’ question above. Thus, you may reuse the information you entered there.
Did you budget for the time and effort it will take to prepare the data for archiving?	hasDataPublicationBudget	question	Responsibilities and resources	
The project will capture data using measurement equipment	hasMeasuredData	question	Reusing and collecting data	Describe all types of data acquisition using measurement equipment or laboratory instruments.
The project will collect data through observations, questionnaires or interviews	hasNonMeasuredData	question	Reusing and collecting data	Describe all types of data collection through questionnaires, interviews or observations that is not relying on measurement instrumentation. Use of e.g. recording equipment should be described as part of the collection methodology. If you are collecting data about persons, make sure to provide all necessary information in the chapter 'Legal and ethical aspects'.
Who will have access to the storage solution?	haveAccessStorage	question	Storing and protecting data during the project	
Have you made plans for revisions of this DMP?	haveMadePlans	question	About the Data Management Plan	The DMP should be considered a 'living document' and be revised as the project develops. Remember the dual purpose of an DMP: The planning involved in writing the DMP will benefit your project highly in the project phase, as well as be useful when reporting to parties externally from the project.
Have data management responsibilities in the project been clearly assigned?	haveManagementResponsibilities	question	Responsibilities and resources	
Have you published, or will you publish (versions of) this DMP?	havePublishedPublish	question	About the Data Management Plan	It is recommended to publish the DMP with a persistent identifier in a research repository that supports versioning, for example zenodo. Ideally all iterations will be published/archived, but at minimum the final version.
Who holds rights to the data, and under which conditions can the data be used?	holdsRightsConditions	question	Data documentation during the project	
Please elaborate	how	question	Planning considerations (pre-start/ before submitting the proposal)	How do you think other researchers can use these data?
How do you think other researchers can use this data?	how	question	Reusing and collecting data	
Will data be collected in digital form?	howCaptured	question	Reusing and collecting data	
How will you design your new data format?	howDesign	question	Data documentation during the project	
Explain how data subjects will be informed	howInformed	question	Legal and ethical aspects	Explain how data subjects will be informed and how data subject's requests will be handled. Data subjects must be informed of the purpose, the interest of the study, the type of collected data, and the potential risks to which they will be exposed. If the processing operation is exempted from the right to information according to the GDPR, provide a justification. Mention the relevant document in which the responsibilities regarding the information of data subjects are indicated.
"How will you be keeping track of the ""provenance"" of the data?"	howProvenance	question	Reusing and collecting data	To make data understandable, reproducible and reusable, it is crucial that the data origin and relevant parameters as well as all processing and filtering steps are documented. This is called data provenance or data lineage.
Describe how data subjects exercise their rights to their data	howRights	question	Legal and ethical aspects	For projects involving data collection from subjects, it must be ensured the subjects can exercise all their rights.
How will the raw data be transported?	howTransported	question	Reusing and collecting data	
Do you have a clear understanding of what metadata is needed to make it possible for others to read and interpret the data in the future?	idea	question	Data documentation during the project	Imagine trying to interpret a similar data set from a colleague a few years from now. Is there any way in which the data could be misinterpreted? Do all researchers in the field do things in exactly the same way? Will this still be understood in10 years? How can misinterpretation be avoided?
Have these been collected with sufficiently identical protocols?	identicalProtocols	question	Processing, analysing and interpreting data	
Select the highest level of identifiability for the stored data	identifiabilityLevel	question	Legal and ethical aspects	Anonymisation refers to the processing of personal data in a manner that makes it impossible to identify individuals from them. For example, the data can be rendered down to a general level (aggregated) or converted into statistics so that individuals can no longer be identified from them. Pseudonymisation refers to the processing of personal data in such a manner that the personal data can no longer be attributed to a specific person without the use of additional information, i.e. any identifying characteristics are replaced with a pseudonym.
Identifier type	identifier	question	About the Data Management Plan	Specify the identifier type. <!-- JO: maDMP dmp id --
Identifier of project registration	identifierRegistration	question	Legal and ethical aspects	
Identify archive(s) for depositing datasets	identifyArchiveDepositing	question	Archiving and publishing data	Where do you plan to archive your research data? Remember that this can include project results in a broad sense, which you may not immediately think of as 'data'. What type of archive, such as using a domain-specific or institutional archive, is appropriate for your data? Archive choice often decides over necessary documentation and metadata standards to be applied, therefore it is recommended to investigate suitable archives early in the project. Use the 'Add' button to list relevant archive(s) and respective metadata standards.
Do you include citation information in the release?	includeCitationInformation	question	Archiving and publishing data	Citation information for software: how to cite your software in the form of citation.cff, codemeta.json or bibtex
Is there software in the work space? Can it also be restored quickly?	includeSoftware	question	Processing, analysing and interpreting data	
Indicate applicable general research ethical guidelines	indicateApplicableGeneral	question	Legal and ethical aspects	All researches are to follow general research ethical guidelines and ethical considerations may affect how data will be handled and shared. The list is based on resources provide by the National Research Ethics Committees (FEK). Additional and subject-specific ethical guidelines and codes of conduct can be added in the next question. Select the general research ethical guidelines applicable to the project. Several choices are possible.
Indicate the costs	indicateCosts	question	Responsibilities and resources	Indicate the single posts and/or the expected sum. If you are converting currencies, remember to indicate the conversion rate.
Indicate the costs	indicateCosts2	question	Responsibilities and resources	Indicate the single posts and/or the expected sum. If you are converting currencies, remember to indicate the conversion rate.
Indicate the costs	indicateCosts3	question	Responsibilities and resources	Indicate the single posts and/or the expected sum. If you are converting currencies, remember to indicate the conversion rate.
How will information security be affected?	informationSecurityAffected	question	Processing, analysing and interpreting data	
Information security considerations	informationSecurityConsiderations	question	Reusing and collecting data	If relevant for these data or deviating from the information provided in chapter 'Storage and backup', please describe considerations regarding information security, storage, backup, data protection.
Information security level(s) this storage solution will be used for	informationSecurityLevel	question	Storing and protecting data during the project	Indicate the information security level(s) this storage solution will be used for. Several choices are possible.
Will the conditions be published as part of open metadata?	inMetadata	question	Archiving and publishing data	
Insert end date of usage of external computing resources	insertEndDate	question	Processing, analysing and interpreting data	Consult the guidance of the external computing resources to understand what happens to the data after en date, and how the end date can be prolonged.
Inspectorate/Authority	inspectorateAuthority	question	Legal and ethical aspects	
Which institutional policies and guidelines for research data management or Open Science apply?	institutionalPoliciesGuidelines	question	About the Data Management Plan	Specifying relevant policies or guidelines will help you recognize research data management requirements and routines to be aware of. Research institutions commonly have policies or guidelines for data management, sometimes as part of Open Science guidelines. Use the 'Add' button for adding any new policy/ guideline.
Institutional policy or guideline	institutionalPolicyGuideline	question	About the Data Management Plan	Start typing the institution name and select it, and its respective guidelines, from the list.\ To add another policy/guideline, for example specific to your research unit, paste the respective url in the search box and click outside of the text box and the string will be saved.
Which institutional privacy routines apply?	institutionalPrivacyRoutines	question	Legal and ethical aspects	It is important to make yourself familiar with privacy policies and routines at your institution. Please indicate the applicable privacy routines (at the institution that acts as data controller, typically the host/coordinating institution).\ Use the 'Add' button for adding a new institution or routine/guideline/process.
Institution/partner	institutionPartner	question	Legal and ethical aspects	Search by Norwegian or English organisation name to see a list of suggestions from the Research Organisation Registry (ROR).\ In case the organisation is not listed, preferably enter the url to its homepage and click outside of the text box to save the string.
Instrument(s) used for data collection	instruments	question	Reusing and collecting data	List all technical instruments that you will be using to collect the data.
Will you be integrating or linking data from different origins or different types of data?	integratingDataSourcesMoreInfo	question	Processing, analysing and interpreting data	"If you are combining different types of data or data from different sources it is likely that you will need to match items and glue everything together. This can be done with traditional table database technology, but it is also possible to use Linked Data and RDF. You may also need to use ""mappings"" to match data together."
Will data processing or analysis alter metadata or produce additional metadata?	integratingDataSourcesMoreSamples	question	Processing, analysing and interpreting data	
Data integrity and quality measures	integrityQualityMeasures	question	Reusing and collecting data	Will you take steps to ensure data quality and integrity? In case data is collected by more than one person, how are you dealing with the risk of subjectivity?
Will you have different versions of intermediate data that need to be kept?	intermediateDataVersions	question	Storing and protecting data during the project	Consider storing only the workflow parameters if the data itself could be reproduced quickly.
Involved institution(s)/partner(s)	involvedInstitutionPartner	question	Legal and ethical aspects	Specify the host institution and, if applicable, collaboration partners or external parties/subcontractors contributing to the project. Use the 'Add' button for adding an institution/partner.
Are there intellectual property (IP) reasons why your data cannot be open?	ipReasons	question	Archiving and publishing data	
Is the data format agreed on?	isFormatEstablished	question	Reusing and collecting data	Has the storage and transport format of the primary data been agreed on between the people responsible for the measurement and the people responsible for the processing?
Is the equipment completely standard and well described?	isStandardAndWellDescribed	question	Reusing and collecting data	Is the measurement equipment and protocol sufficiently standard that you will be able to explain how it is done or refer to a standard explanation?
Will the parties be joint controllers?	jointController	question	Legal and ethical aspects	
How will you keep track of changes the software/model/simulation?	keepTrackChanges	question	Reusing and collecting data	
Which kind of versioning scheme?	kindVersioningScheme	question	Reusing and collecting data	
Do you know how much CPU power, memory and I/O band width a typical analysis will take?	knownCpuMemoryBandwidth	question	Processing, analysing and interpreting data	- Did you run pilot jobs? - Do you know this information from comparable projects? - Did you test whether the work scales up as you expected if you run more than one job?
What part of the data will have the largest volume?	largestPart	question	Processing, analysing and interpreting data	
Are the data sources using linked data?	ldSources	question	Processing, analysing and interpreting data	
What legal basis are you using to collect and process the personal data?	legalBasis	question	Legal and ethical aspects	Article 6 (1) lists under what conditions the processing is considered lawful. Of these, Consent or Public interest are relevant when it comes to research. You should determine what legal basis (or bases) you have for processing the personal data in your project. Traditionally, consent has been the basis for processing personal data for research, but under the GDPR there cannot be an imbalance between the processor and the data subject for it to be considered to be freely given. In some countries the use of consent as the legal basis for processing by universities for research purposes is therefore not recommended. In those cases, public interest should probably be your legal basis. Note that if your legal basis for processing is consent, a number of requirements exists for the consent to be considered valid under the GDPR. Consents given before the GDPR might not live up to this. Also note that even if public interest is the legal basis, other laws and research ethics standards might still require you to have consent from the subjects for performing the research. Please consult with the Data Protection Officer of your organisation on which legal basis to apply to your data.
	legalEthicalAspects	question	Legal and ethical aspects	
Legal and ethical aspects	legalEthicalAspectsChapter	chapter	Legal and ethical aspects	This chapter collects information about legal and ethical aspects which may have implications on research data management in the project. Supporting information for this chapter
Indicate why (some of the) data cannot be completely open	legalReasons	question	Archiving and publishing data	If certain datasets can only be made available under restricted access conditions, explain why, clearly separating legal and contractual reasons from intentional restrictions.
What are the legal reasons for not sharing openly?	legalReasonsNotSharing	question	Archiving and publishing data	
Can all data be legally transported and processed at the computing site?	legalTransportProcessing	question	Processing, analysing and interpreting data	Are the risks of data leaks covered?
License	license	question	Archiving and publishing data	Search by license name or acronym to see a list of suggestions based on the SPDX License List.
What is the license?	license2	question	Reusing and collecting data	
Under which license will the dataset be made available?	licenseDataset	question	Archiving and publishing data	Please indicate the license under which this data will be available. Also for internal use, if a dataset is kept but not deposited in an repository (open or with restricted access), defining clear access and reuse conditions is strongly recommended. For each license you will be able to specify when it starts being applicable, so that you can e.g. specify an embargo period.
License of the dataset	licenseDataset	question	Reusing and collecting data	
License of the dataset	licenseDataset2	question	Reusing and collecting data	
Link to the license text	licenseUrl	question	Archiving and publishing data	If the license is available as a text on the internet, please specify its URL here.
Link to external information about the project	linkExternalInformation	question	About the research project	Example: Project description in funder database
Link to funder guideline or policy	linkFunderGuideline	question	About the research project	Paste the url to the respective guidelines into the text field.
Link/reference	linkReference	question	Archiving and publishing data	Please control the validity of the link/reference by opening it in a web browser!
Link/reference	linkReference2	question	Reusing and collecting data	Please control the validity of the link/reference by opening it in a web browser!
Link/reference to the data/record/source	linkReferenceRecord	question	Reusing and collecting data	Provide a link to the dataset/record/source, preferably referring to its persistent identifier.
List other data	list	question	Reusing and collecting data	
List consultation(s)	listConsultation	question	About the Data Management Plan	Use the 'Add' button to list a new consultation.
List contributors with read/write access	listContributorsRead	question	Storing and protecting data during the project	Select contributor from list in chapter 'About the Data Management Plan'. Use the 'Add' button for adding a person.
List contributors who will be responsible for data management	listContributorsResponsible	question	Responsibilities and resources	Select contributor(s) from chapter 'About the Data Management Plan'. Use the 'Add' button for selecting a person.
List data that you have deleted or will delete	listHaveDelete	question	Archiving and publishing data	If data(sets) are or will be deleted, they can be listed in this question, including a brief description of the reasons for deletion. Use 'Add' button for any new dataset.
List planned revisions	listPlannedRevisions	question	About the Data Management Plan	Describe all planned revisions of the DMP.
List policies or guidelines	listPoliciesGuidelines	question	Legal and ethical aspects	Use 'Add' button for any new item.
List privacy policies, guidelines, or processes	listPrivacyPolicies	question	Legal and ethical aspects	Use the 'Add' button for any new item.
List published/archived datasets, records or digital sources that will be (re)used in the project	listPublishedArchived	question	Reusing and collecting data	Click 'Add' to add a new dataset or record.
List related collaboration agreements/contracts	listRelatedCollaboration	question	Legal and ethical aspects	Specify related contracts. If documents to not have an unique identifier, refer e.g. to the document number in the institutional archival system. Use 'Add'-button for any new document.
List related contracts	listRelatedContracts	question	Legal and ethical aspects	Specify related contracts. If documents to not have an unique identifier, refer e.g. to the document number in the institutional archival system. Use 'Add'-button for any new document.
List related DMP(s) or documents	listRelatedDmp	question	About the Data Management Plan	List any DMP(s) or documents that are related to this one. Specify the relationship and where the DMP can be accessed, ideally by referring to a published DMP.
List relevant code(s) of conduct	listRelevantCode	question	Legal and ethical aspects	Use 'Add' button for any new item.
List software/computational models/simulations that you will generate	listSoftwareComputational	question	Reusing and collecting data	
List storage guideline(s)	listStorageGuideline	question	Storing and protecting data during the project	Use 'Add' button for any new item.
List work space(s)	listWorkSpace	question	Processing, analysing and interpreting data	List all shared work spaces (virtual research environments) you are planning to use. Refer to solutions described in the chapter 'Storing and protecting data during the project'. Examples: NIRD (operated by Sigma2) NREC (operated by UiB and UiO) Educloud (operated by UiO) Norwegian e-infrastructure for Life Sciences provided by ELIXIR Norway (NeLS) For operating on sensitive data: SAFE (operated by UiB), HUNTCloud (operated by NTNU) or TSD (operated by UiO)
Will the samples be preserved in a repository (e.g. museum archive, biobank)?	localRepository	question	Reusing and collecting data	In some fields, it is considered good practice to deposit samples to a public repository before deriving any digital data from them.
Will you be able to support this repository for a sufficiently long time?	longTermSupport	question	Archiving and publishing data	Maintaining a repository is a long term commitment that can most of the time not be funded from project money. Think about who will be doing the system maintenance, hardware maintenance, and who will make necessary code changes to accommodate future (safe) versions of the system.
E-mail address	mailAddress2	question	About the Data Management Plan	
Will you be mapping your terms to existing vocabularies or ontologies?	mapping	question	Data documentation during the project	Mapping even part of the terms from your own vocabulary to other existing vocabularies or ontologies can make a real difference for the interoperability of your data.
Do project members physically carry data with them?	membersCarryData	question	Storing and protecting data during the project	Does anyone carry project data on laptops, USB sticks or other external media?
Have project members been instructed about information security (generic and specific to the project)?	membersInstructedAboutRisks	question	Storing and protecting data during the project	Project members may need to know about passwords (not sharing accounts, using different passwords for each service, and two factor authentication), about security for data they carry (encryption, backups), data stored in their own labs and in personal cloud accounts, and about the use of open WiFi and HTTPS.
Metadata	metadata	question	Archiving and publishing data	
Which metadata and documentation accompanies the dataset?	metadataAccompaniesDataset	question	Archiving and publishing data	Which metadata and documentation accompanies the dataset?\ Explain to the best of your knowledge what metadata standard/schema is used for your dataset. Here you may reuse information from the metadata standard question in the ‘Data documentation’ chapter.
Metadata and documentation that will accompany the data	metadataDocumentationAccompany	question	Reusing and collecting data	Briefly describe project internal metadata and documentation that will accompany these data. In the chapter 'Data documentation during the project' you can describe in more detail how documentation and data will be connected and which metadata standards may be applied.
What metadata and documentation will follow the data?	metadataDocumentationFollow	question	Reusing and collecting data	
Metadata standard	metadataStandard	question	Archiving and publishing data	
Metadata standard from FAIRsharing	metadataStandardFairsharing	question	Archiving and publishing data	Begin typing to see a list of suggestions based on information in the FAIRsharing registry.
Do suitable metadata standards/schemas exist for the data?	miaStandardsExist	question	Data documentation during the project	A metadata standard/schema is a predefined set of attributes to describe data in a clear and consistent way. Metadata standards/schemas can be generic or discipline-specific, and research communities have worked together to define what type of metadata are needed when research of a certain kind is performed and described. Complete metadata helps to organise data during the project, and is necessary for data archiving.
Will you monitor data integrity once it has been collected?	monitorIntegrity	question	Processing, analysing and interpreting data	It is important to ensure that the data in your project is not corrupted e.g. through transfer problems, data degradation (bitrot), vandalism, or human error. This is particularly important if data is transferred between sites/machines, and in complex projects with several people involved.
Is there more than one controller of the personal data processed in the project?	moreThanOne	question	Legal and ethical aspects	
Name	name	question	About the Data Management Plan	
Project title	name	question	About the research project	Title of the research project and if applicable, project acronym.
Name of the research software/code	name	question	Archiving and publishing data	
Name of vocabulary/ontology/terminology	name	question	Data documentation during the project	Begin typing to see a list of suggestions based on the FAIRsharing standard registry.\ In case the vocabulary/ontology/terminology is not found, type the name and click outside of the text box and the string will be saved. In this case, please specify its URL in the next question.
Name of the policy, guideline or process	name	question	Legal and ethical aspects	
Name of the ontology	name	question	Processing, analysing and interpreting data	
Instrument name and manufacturer	name	question	Reusing and collecting data	
Name of the archive	nameArchive	question	Archiving and publishing data	
Name of the archive/repository where the dataset is available	nameArchiveRepository	question	Reusing and collecting data	
Name of the code of conduct	nameCodeConduct	question	Legal and ethical aspects	
Name of the code of conduct	nameCodeConduct2	question	Legal and ethical aspects	
Name of the policy or guideline	namePolicyGuideline	question	Legal and ethical aspects	
Name of the policy or guideline	namePolicyGuideline2	question	Legal and ethical aspects	
Name of the repository/registry/archive where the data is accessible	nameRepositoryRegistry	question	Reusing and collecting data	If the dataset or source is available at more than one place, pick the repository you will be retrieving the data from.
Name of the software/computational model/simulation	nameSoftwareComputational	question	Reusing and collecting data	
Name of storage guideline	nameStorageGuideline	question	Storing and protecting data during the project	
Name of the storage solution	nameStorageSolution	question	Storing and protecting data during the project	
Name of system	nameSystem	question	Legal and ethical aspects	
Name of the data unit	nameUnit	question	Reusing and collecting data	
Describe file naming strategy	naming	question	Storing and protecting data during the project	Describe your file naming strategy. It is recommended to agree on a file naming scheme that everyone in the project will be following. Make sure names are relatively short, and avoid spaces and special characters other than underscores. You can consider to include unique identifiers e.g. for experiments. Versioning by date should follow the YYYYMMDD format.
Do you need a Data Protection Impact Assessment?	needDpia	question	Legal and ethical aspects	Where a type of processing is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data, a so called Data Protection Impact Assessment (DPIA) - Article 35. Note: Most types of research projects on health or genetic data require a DPIA, especially large-scale processing of sensitive data.
What specific hard/software do you need, and why?	needs	question	Responsibilities and resources	
Is special care needed to get data ready for processing?	needsSpecialCare	question	Reusing and collecting data	Often raw data needs to be transferred or ingested for further processing, e.g. from the measurement instrument to managed storage. Which steps need to be taken and how will data integrity be guaranteed?
Did you plan the required network capacity between storage and compute services?	networkCapacityPlan	question	Processing, analysing and interpreting data	
Is there sufficient network capacity to the other computing locations?	networkCapacityToLocations	question	Processing, analysing and interpreting data	
Are you sure you will not need a backup of the data stored on the scratch file systems (any scratch you use)?	noBackupNeed	question	Storing and protecting data during the project	
Project number	number	question	Legal and ethical aspects	Project number is a unique number assigned to the project by the authority that is undertaking the project.
"Will you be storing data in an ""object store"" or a ""document store"" system?"	objectStore	question	Processing, analysing and interpreting data	"Some ""file"" storage systems do not have a tree structure like we know in a file system, but rather have direct pointers to any file in the system. Such systems are called ""object stores"" or ""document stores"". Examples are Amazon S3 and CEPH, or MongoDB."
OMICS DI search	omicsDiSearch	question	Archiving and publishing data	Search by dataset identifier, dataset name or author to see a list of suggestions from the OMICS DI registry. NB! Only applicable to biomolecular datasets in a EMBL/EBI/ELIXIR repository, indexed by OMICS DI. Return to manual entry if you cannot find the dataset.
OMICS DI search	omicsDiSearch2	question	Reusing and collecting data	Search by dataset identifier, dataset name or author to see a list of suggestions from the OMICS DI registry. NB! Only applicable to biomolecular datasets in a EMBL/EBI/ELIXIR repository, indexed by OMICS DI. Return to manual entry if you cannot find the dataset.
List the ontologies you will be using	ontologies	question	Processing, analysing and interpreting data	
Is an open-source license assigned to the software?	openSource	question	Archiving and publishing data	Open Source licenses give a series of permissions (and guarantees) to users of your software. There are a number of different open source licenses to choose from.
Optional description	optionalDescription	question	About the Data Management Plan	Description of the published version. Example: v1.0, initial version 6 month after project start
Optional description or comment	optionalDescriptionComment	question	Legal and ethical aspects	If applicable, describe how and why you will the following the code of conduct.
ORCID Identifier	orcid	question	About the Data Management Plan	Search by contributor name or ORCID identifier to see a list of suggestions from the ORCID registry.
ORCID Identifier	orcidIdentifier	question	About the Data Management Plan	
ORCID Identifier	orcidIdentifier2	question	About the Data Management Plan	
Organization	organization	question	Legal and ethical aspects	Search by Norwegian or English organisation name to see a list of suggestions from the Research Organisation Registry (ROR).\ In case the organisation is not listed, preferably enter the url to its homepage and click outside of the text box to save the string.
What other arrangements?	other	question	Archiving and publishing data	
How is the intellectual property for the data collected in the project otherwise arranged?	other	question	Data documentation during the project	
State the exemption	other	question	Legal and ethical aspects	
What other approach?	other	question	Processing, analysing and interpreting data	
What other arrangements?	other	question	Reusing and collecting data	
How will you store any applicable restrictions?	other_1	question	Data documentation during the project	
Which other?	other_1	question	Legal and ethical aspects	The following legal bases are unlikely for processing personal data when doing research. The meaning of the different options are as follows: Fulfil contract: we require the processing in order to fulfil our contract with the data subjects. Legitimate interest: data subjects all expect us to do this data processing because of who we are. Vital interest: we need to do this to protect the vital interests of the data subject. Legal requirement: we are legally obliged to do this data processing.
What other arrangements?	otherArrangements	question	Archiving and publishing data	
Will you make backup copies of project data that is not in the work space?	otherBackup	question	Processing, analysing and interpreting data	Are there any data files e.g. on laptops of project members? Also: supercomputing centers and other high performance computer centers often write in their terms of use that you need to take care of your own backups.
What other business reasons are there not to open all data immediately?	otherBusiness	question	Archiving and publishing data	
Will the data be converted to other file format(s) before archiving?	otherFormThanArchive	question	Processing, analysing and interpreting data	In some cases data has to be converted to different (persistent) file formats late in the project for archiving. Being clear about the necessary conversion steps is important.
Are there other legal reasons?	otherLegalReasons	question	Archiving and publishing data	This could be e.g. (national) security reasons, export control, protection of endangered species, non-disclosure agreements
Elaborate on your other safeguards	otherSafeguards	question	Legal and ethical aspects	List technical and procedural safeguards to ensure the privacy protection of the research subjects.
What is the license?	output	question	Archiving and publishing data	
If applicable: How will data be transferred to/from the work space?	partnerAccess	question	Processing, analysing and interpreting data	
Are accounts on laptops password protected?	passwordProtected	question	Storing and protecting data during the project	
Planned date of deletion	period	question	Archiving and publishing data	Specify the period, and optionally add how this relates to the minimum period that you are required to keep the data and/or a reason for choosing this period.
Persistent identifier of the dataset	persistentIdentifierDataset	question	Reusing and collecting data	Enter the persistent identifier of the dataset, ideally an url where it can be retrieved.
Persistent identifier (PID) of the dataset	persistentIdentifierPid	question	Reusing and collecting data	Enter the url under which the dataset can be accessed.
Will any personal data be collected/processed?	personalCollectedProcessed	question	Legal and ethical aspects	Personal data is any information that can be linked to a person. If there is a way for someone, including yourself, to find out who that person is, that is considered personal data. This includes both data identifying a person directly, and data that allows indirect identification by combining different pieces of information. Examples of personal data are: name; birth day; address; a voice recording; a combination of a location and a time (traffic flow); genetic information; an X-ray of the skull.
Where will physical samples be preserved?	physicalSamplesPreserved	question	Reusing and collecting data	Briefly describe what, where, type of identifier, access conditions and when the material will be deposited.
Did you plan each step of analysis and management of intermediate data?	plan	question	Storing and protecting data during the project	
Do you need to plan compute solutions and capacity?	planComputeCapacity	question	Processing, analysing and interpreting data	If you require substantial amounts of compute power, amounts that are not trivially absorbed in what you usually have available, some planning is necessary. Do you think you need to do compute capacity planning?
Please provide the URL for the domain-specific registry entry	pleaseProvideUrl	question	Archiving and publishing data	
Please provide the URL	pleaseProvideUrl2	question	Archiving and publishing data	
Please provide the URL	pleaseProvideUrl3	question	Reusing and collecting data	
Please specify (where, pid, metadata	pleaseSpecifyPid	question	Reusing and collecting data	
Which portion of the dataset will be used?	portionDatasetUsed	question	Reusing and collecting data	Describe the subset you will be using, preferably be referring to the persistent identifier(s).
Will someone be given decision power to move documents or data to a new place after the project has finished?	powerToMove	question	Archiving and publishing data	In one case in the past, all documents that had been assembled by a project in a documentation system had to be deleted because not a single person could decide to move them to a new platform when the documentation system was going off-line.
Will data preservation and archiving be associated with costs?	preservationArchivingAssociated	question	Responsibilities and resources	
Privacy considerations 	privacyConsiderations	question	Legal and ethical aspects	All processing of personal data must be in accordance with The Personal Data Act (Norwegian: Personopplysningsloven), which incorporates the EU General Data Protection Regulation (GDPR) in Norway. If you work with health data, compliance with the Health research Act also affect how the personal data can be processed. If you already described the processing of personal data in detail in other systems including local registration of personal data processing (e.g. RETTE at UiB), the Sikt notification form for personal data ('Sikt Meldeskjema') or executing and registering a Data Protection Impact assessment (DPIA), you can refer to these registration(s). The step-by-step dialogue guides you through relevant considerations on legal processing of personal data. Be aware that you might have to register processing of personal data in additional systems as required by your institution. There is no information exchange between the DMP and these systems.
Are there privacy reasons why your data cannot be open?	privacyReasons	question	Archiving and publishing data	
Privacy routines	privacyRoutines	question	Legal and ethical aspects	Start typing the institution name and select it, and its respective guidelines, from the list.\ To add another routine/guideline/process, paste the respective url in the search box and click outside of the text box and the string will be saved.
Describe the procedure for users to access private data	procedure	question	Archiving and publishing data	Explain the procedure for authorized users to access private (e.g., personal) data (who is allowed to access it, what is required from them, etc.).
Describe the procedure for obtaining consent from data subjects	procedures	question	Legal and ethical aspects	Where the processing is under consent, appropriate measures should be take to demonstrate how the data subjects have consented. Mention the documents where the consent is established (e.g., data information sheet).
Will data processing affect information security?	processingAffectInformation	question	Processing, analysing and interpreting data	Data processing may affect information security classification. Example: Anonymisation of personal data
	processingAnalysingInterpreting	question	Processing, analysing and interpreting data	
	processingAnalysingInterpreting2	question	Processing, analysing and interpreting data	
Processing, analysing and interpreting data	processingDataChapter	chapter	Processing, analysing and interpreting data	Regardless of the origin of the data in your project, data will likely be further processed, analysed and interpreted. Supporting information for this chapter
Processor	processor	question	Legal and ethical aspects	
List processors and agreements established	processors	question	Legal and ethical aspects	
Reasons for sensitivity	projects	question	Legal and ethical aspects	Indicate which possible reasons for handling data as sensitive may apply. Several choices are possible.
Provide context on how you will use the standard/schema	provideContextStandard	question	Data documentation during the project	
Do you provide input and output examples that can be used to reproduce the functioning of your software/computational model?	provideInputOutput	question	Reusing and collecting data	
Provide a reference/link to the project registration (if possible)	provideReferenceLink	question	Legal and ethical aspects	
Have you established with the provider when will you need the compute capacity?	providerEstablished	question	Processing, analysing and interpreting data	Do you need the compute capacity also for development? Can you start developing locally and start with a deployment test later?
Could pseudonymization be used to make the data more openly available?	pseudonymization	question	Archiving and publishing data	Legally, pseudonymous data (which means that someone has the key to reverse the process) is still considered privacy sensitive information. However, the EU is working on special cases where the data can still be opened as long as the key availability is sufficiently limited.
Published version(s)	publishedVersion	question	About the Data Management Plan	Us the 'Add' button to add a published version of the DMP.
State the purpose of processing the personal data	purpose	question	Legal and ethical aspects	
Which quality processes will be applied?	qualityProcessesApplied	question	Reusing and collecting data	
When will your raw data come in?	rawDataAvailability	question	Storing and protecting data during the project	
How much of the raw data do you need to keep in the work space?	rawDataKeep	question	Storing and protecting data during the project	Sometimes the raw data is relatively large, and it pays of to clean it quickly.
Reasons for deleting data	reasonsDeleting	question	Legal and ethical aspects	
Reasons for deletion	reasonsDeletion	question	Archiving and publishing data	Briefly explain why you are deleting data(sets). Examples: Legal obligations for health data Contractual obligations Raw data that never needs to be reprocessed Intermediate data that is easily reproduced There is no value, nobody will ever reuse it (e.g. data from technically failed experiments)
Does the data/record/source have a license assigned or clear reuse conditions?	recordSourceHave	question	Reusing and collecting data	Ensure that the reuse conditions are sufficiently clear before you start re-using data. This will help to avoid situations where you have to redo analyses, retract published results or enter conflicts with the original right holders or authorities.
Will there be software license costs or other recurring fees to work with data or documents?	recurringFees	question	Responsibilities and resources	Are you using any commercially licensed products for which a regular fee must be paid to be able to access and work with data, software or documents?
The project will (re)use datasets or records available in a repository/registry/archive	reDatasetsRecords	question	Reusing and collecting data	"Studies can rely solely on pre-existing sources or data, combine data reuse with generating novel data, or discard the idea of reusing data. Many projects make use of datasets published in discipline-specific, institutional and generic research-data archives, registry data, or so-called ""reference data"" which is used by many projects. As many of the same considerations apply, also access to materials that are commonly referred to as 'records' or 'sources' rather than 'data' should be included here, such as material in public archives, media archives, legal resources, or large amounts of digital literature. Examples: Reference datasets in molecular biology Published dataset in generic research data archive Digitalized historical record in digital archive Record in public database"
Which data type registries will you use?	registries	question	Data documentation during the project	
